station_id,WY 2012 Monthly Observed Precipitation Ordered By Station Name_STATION NAME,WY 2012 Monthly Observed Precipitation Ordered By Station Name_OCT,WY 2012 Monthly Observed Precipitation Ordered By Station Name_NOV,WY 2012 Monthly Observed Precipitation Ordered By Station Name_DEC,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JAN,WY 2012 Monthly Observed Precipitation Ordered By Station Name_FEB,WY 2012 Monthly Observed Precipitation Ordered By Station Name_MAR,WY 2012 Monthly Observed Precipitation Ordered By Station Name_APR,WY 2012 Monthly Observed Precipitation Ordered By Station Name_MAY,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JUN,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JUL,WY 2012 Monthly Observed Precipitation Ordered By Station Name_AUG,WY 2012 Monthly Observed Precipitation Ordered By Station Name_SEP
SAP,SALINAS NO2,1.49,1.61,0.05,1.41,0.92,3.0,2.05,0.12,0.25,0.0,0.04,
SDG,SAN DIEGO NWS-LINDBERGH FIELD,0.46,3.12,0.86,0.4,1.19,0.97,0.88,0.02,0.0,0.0,0.0,0.0
SFF,SAN FRANCISCO WB AP,1.38,1.55,0.14,2.16,0.66,5.97,2.79,0.02,0.09,0.0,0.0,0.0
SLO,SAN LUIS OBISPO POLY,1.06,3.2,0.18,3.27,0.73,2.95,3.69,0.0,0.0,0.01,0.03,0.0
ANA,SANTA ANA FIRE STA,0.85,1.67,0.63,1.3,0.78,1.51,3.09,0.0,0.0,0.12,0.0,0.0
SBR,SANTA BARBARA SANITATION,1.1,3.03,1.09,2.09,0.08,2.28,2.24,0.0,0.01,0.0,0.02,0.08
CRZ,SANTA CRUZ,2.63,2.54,0.13,3.68,0.94,7.38,3.1,0.06,0.19,0.03,0.0,0.02
SRO,SANTA ROSA,2.07,2.07,0.09,6.31,2.16,7.79,2.43,0.08,0.04,0.0,0.0,0.0
SCA,SCOTIA,2.82,4.29,1.07,7.27,4.2,13.39,3.84,0.91,1.03,0.76,0.02,
SRR,SIERRAVILLE RS (USFS),1.7,0.79,0.0,3.92,1.32,4.58,2.62,0.28,0.52,0.5,0.0,0.14
SLP,SLY PARK,3.47,2.04,0.03,6.84,1.67,13.48,7.69,0.27,0.02,0.2,0.0,0.0
SSG,SODA SPRINGS 1 E,4.72,3.5,0.24,7.68,4.37,15.1,5.94,0.24,1.46,0.5,0.31,0.2
SOR,SONORA RS,2.1,1.12,0.9,4.76,1.45,5.83,4.96,0.0,0.44,0.02,0.02,0.04
SEY,SOUTH ENTRANCE YOSEMITE,2.21,1.27,0.0,4.43,1.34,5.06,2.17,0.06,0.4,0.07,0.0,0.0
SLK,SOUTH LAKE,1.77,1.46,0.0,3.5,0.74,1.7,1.34,0.08,0.12,0.16,2.36,
SGV,SPRINGVILLE TULE POWERPLANT,1.61,2.06,0.0,5.09,2.47,5.18,4.95,0.03,0.0,0.0,0.01,0.02
SNH,STANDISH HICKEY PARK,,,,,,,,,,,,
STK,STOCKTON FIRE STATION 4,0.9,1.1,0.1,1.33,0.33,2.85,1.82,0.0,0.0,0.0,0.0,0.0
STG,STONY GORGE RESERVOIR,1.32,1.98,0.06,3.41,1.29,2.91,1.31,0.03,0.0,0.0,0.02,0.0
STV,STRAWBERRY VALLEY,5.89,3.56,0.79,10.77,4.48,23.77,11.69,0.32,1.43,0.03,0.09,0.0
SCC,SUCCESS DAM,0.9,0.55,0.0,1.83,0.84,2.98,4.2,0.06,0.28,0.01,0.0,0.0
SSN,SUSANVILLE,0.52,0.2,0.0,1.88,0.61,1.57,1.16,0.0,0.58,0.2,0.09,0.0
TAC,TAHOE CITY (NWS),1.76,1.96,0.0,5.48,1.81,6.82,2.53,0.36,0.6,,,
TRM,TERMINUS DAM,0.76,1.08,0.0,2.62,0.92,3.45,3.46,0.1,0.01,0.02,0.0,0.0
3RV,THREE RIVERS PH NO 1,0.33,1.44,0.0,3.64,0.53,4.52,5.35,0.07,0.0,0.0,0.0,0.0
TCR,TRACY CARBONA,1.02,0.29,0.14,0.77,0.4,1.83,1.73,0.0,0.02,0.0,0.0,
TKE,TRUCKEE RS (OBS),0.55,0.63,0.03,4.02,1.25,5.98,2.19,0.29,,,,
29P,TWENTYNINE PALMS,0.0,0.15,0.11,0.0,0.45,0.04,0.0,0.0,0.0,0.11,0.8,0.0
UKH,UKIAH,3.54,2.37,0.03,5.21,1.4,12.22,1.55,0.29,0.0,0.0,0.0,0.0
VNT,VINTON,0.98,0.48,0.0,2.25,0.51,3.44,0.84,0.29,0.49,0.83,0.06,0.12
VSL,VISALIA,0.0,0.37,0.0,0.42,0.31,1.6,2.78,0.0,0.35,0.0,0.0,0.0
WSC,WASCO,0.58,1.06,0.03,0.29,0.3,1.26,1.5,0.0,0.0,0.0,0.0,0.0
WTW,WATSONVILLE WATER,1.87,2.1,0.04,2.81,0.65,4.13,3.13,0.01,0.2,0.04,0.0,0.0
WVR,WEAVERVILLE RS,4.17,3.02,0.88,7.96,2.57,11.16,2.99,0.15,0.69,0.45,0.0,0.0
WPT,WEST POINT,2.82,,0.0,6.79,3.07,11.07,5.39,0.39,0.83,0.01,0.0,0.13
WDL,WOODLAND 1 WNW,0.95,1.13,0.28,3.37,0.9,4.24,2.12,,0.0,,,
YSV,YOSEMITE HEADQUARTERS,2.8,1.07,0.0,5.11,2.24,5.97,4.78,0.28,0.64,0.08,0.0,0.0
YRK,YREKA,0.96,1.13,0.8,3.81,1.35,3.49,1.28,0.17,1.42,0.12,0.0,0.0
