station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
PMS,PALM SPRINGS,0.0,0.05,1.26,4.51,0.75,0.0,0.08,0.0,0.0,0.0,0.0,0.11
PNH,PANOCHE 2W,1.51,0.14,1.53,4.36,2.44,0.55,2.17,0.2,0.0,0.0,0.0,0.0
PSC,PASCOES,3.4,0.3,8.2,7.2,8.3,4.7,5.4,0.2,0.1,0.0,0.2,0.0
PNF,PINE FLAT DAM,3.35,0.18,4.87,4.52,3.86,1.65,4.04,0.31,0.0,0.06,0.0,0.0
PCV,PLACERVILLE,2.09,1.51,5.61,7.89,2.76,6.7,6.48,2.92,0.03,,,
PLE,PLUMAS EUREKA PARK,5.5,3.8,7.4,11.1,,7.0,9.4,3.6,0.8,0.0,0.1,0.0
PRT,PORTOLA,1.66,1.45,2.71,4.98,3.06,3.44,2.28,1.75,0.15,0.44,0.08,0.0
QNC,QUINCY RS (USFS),3.68,1.93,4.39,9.67,3.36,3.97,4.19,2.15,0.02,0.0,0.03,0.0
RBF,RED BLUFF,2.23,0.88,2.74,8.45,5.03,0.87,3.6,1.1,0.06,0.0,0.0,0.18
RGC,ROGERS CAMP,0.0,0.33,8.4,6.21,8.82,3.73,7.93,1.44,0.31,0.11,0.1,0.0
HEA,RUSSIAN RIVER NEAR HEALDSBURG,4.76,1.28,4.04,16.77,7.54,,6.13,2.3,0.0,0.0,,0.01
SCR,SACRAMENTO WB CITY,3.42,0.36,3.16,4.75,2.29,2.98,2.65,0.75,0.0,0.0,0.0,0.01
SGH,SAGEHEN CREEK,0.0,1.33,4.88,6.14,3.74,5.05,5.2,1.98,0.4,0.41,0.26,0.05
SAP,SALINAS NO2,2.02,0.25,1.9,4.48,3.7,2.71,3.33,0.86,0.04,0.03,0.11,0.0
SDR,SAN ANDREAS,,,,,,,,,,,,
SDG,SAN DIEGO NWS-LINDBERGH FIELD,0.0,0.12,2.28,3.38,2.28,0.68,1.78,0.01,0.02,0.02,0.0,0.03
SFF,SAN FRANCISCO WB AP,3.11,0.45,2.77,6.66,3.42,2.79,3.59,0.95,0.07,0.0,0.01,0.02
SLO,SAN LUIS OBISPO POLY,6.14,0.0,3.4,6.11,4.45,1.32,2.41,0.16,0.0,0.04,0.0,0.0
ANA,SANTA ANA FIRE STA,0.62,0.0,3.39,4.86,4.21,0.26,1.22,0.05,0.0,0.02,0.0,0.0
SBR,SANTA BARBARA SANITATION,3.63,0.0,3.44,6.01,4.56,0.65,2.35,0.15,0.01,0.0,0.0,0.0
CRZ,SANTA CRUZ,4.08,0.19,4.06,8.19,5.78,3.17,4.47,0.74,0.0,0.02,0.03,0.01
SRO,SANTA ROSA,3.34,1.05,3.34,8.88,3.84,3.7,4.29,2.68,0.11,0.01,0.01,0.1
SGS,SAUGUS POWER PLANT 1,,,,,,,,,,,,
